Grid 座標,discount factor
0_0,0.343/0.7/0.605/0.104/0.864/0.633/0.486/0.789
0_1,0.571/0.361/0.849/0.968/0.05/0.816/0.123/0.756
0_2,0.253/0.515/0.711/0.157/0.047/0.329/0.022/0.626
0_3,0.58/0.359/0.951/0.948/0.8/0.278/0.306/0.803
0_4,0.968/0.485/0.63/0.579/0.966/0.824/0.088/0.647
0_5,0.785/0.313/0.956/0.376/0.732/0.547/0.738/0.936
0_6,0.823/0.402/0.783/0.276/0.052/0.208/0.388/0.732
0_7,0.643/0.221/0.605/0.766/0.892/0.387/0.963/0.617
0_8,0.671/0.947/0.292/0.417/0.966/0.798/0.564/0.769
0_9,0.819/0.693/0.699/0.95/0.199/0.708/0.246/0.098
1_0,0.997/0.426/0.162/0.717/0.892/0.625/0.098/0.966
1_1,0.439/0.392/0.92/0.38/0.172/0.68/0.437/0.803
1_2,0.854/0.015/0.011/0.698/0.997/0.823/0.265/0.086
1_3,0.122/0.787/0.29/0.686/0.041/0.85/0.288/0.613
1_4,0.223/0.678/0.808/0.07/0.424/0.527/0.442/0.099
1_5,0.537/0.842/0.948/0.061/0.898/0.352/0.864/0.356
1_6,0.796/0.281/0.569/0.378/0.213/0.435/0.673/0.504
1_7,0.321/0.251/0.791/0.808/0.97/0.687/0.039/0.84
1_8,0.375/0.728/0.747/0.533/0.353/0.9/0.706/0.113
1_9,0.059/0.719/0.636/0.999/0.185/0.866/0.381/0.541
2_0,0.534/0.208/0.123/0.154/0.493/0.292/0.984/0.323
2_1,0.23/0.297/0.226/0.203/0.742/0.607/0.339/0.509
2_2,0.451/0.567/0.967/0.669/0.609/0.501/0.305/0.698
2_3,0.329/0.701/0.021/0.0/0.541/0.884/0.915/0.652
2_4,0.402/0.686/0.386/0.099/0.833/0.219/0.953/0.77
2_5,0.007/0.017/0.979/0.484/0.103/0.424/0.405/0.616
2_6,0.035/0.571/0.834/0.389/0.909/0.327/0.26/0.886
2_7,0.41/0.608/0.221/0.742/0.004/0.059/0.769/0.376
2_8,0.983/0.475/0.284/0.221/0.713/0.135/0.291/0.041
2_9,0.636/0.258/0.98/0.015/0.777/0.693/0.265/0.036
3_0,0.276/0.433/0.793/0.779/0.203/0.078/0.427/0.581
3_1,0.217/0.593/0.735/0.887/0.638/0.994/0.317/0.944
3_2,0.936/0.774/0.959/0.264/0.058/0.177/0.574/0.309
3_3,0.025/0.413/0.353/0.35/0.388/0.794/0.54/0.875
3_4,0.052/0.578/0.617/0.281/0.593/0.676/0.952/0.019
3_5,0.424/0.395/0.029/0.823/0.593/0.696/0.835/0.087
3_6,0.415/0.691/0.446/0.701/0.893/0.814/0.052/0.964
3_7,0.043/0.4/0.181/0.397/0.699/0.56/0.48/0.421
3_8,0.963/0.497/0.737/0.181/0.651/0.803/0.115/0.605
3_9,0.059/0.814/0.922/0.251/0.022/0.695/0.591/0.955
4_0,0.822/0.919/0.7/0.836/0.568/0.562/0.774/0.765
4_1,0.224/0.529/0.498/0.98/0.986/0.727/0.737/0.278
4_2,0.314/0.742/0.988/0.239/0.211/0.666/0.913/0.553
4_3,0.218/0.349/0.614/0.431/0.962/0.913/0.578/0.543
4_4,0.213/0.628/0.739/0.233/0.738/0.527/0.537/0.852
4_5,0.067/0.883/0.399/0.512/0.001/0.282/0.033/0.746
4_6,0.949/0.912/0.367/0.959/0.38/0.197/0.12/0.206
4_7,0.388/0.024/0.105/0.636/0.001/0.241/0.98/0.009
4_8,0.964/0.683/0.121/0.228/0.781/0.22/0.157/0.355
4_9,0.115/0.977/0.611/0.477/0.65/0.575/0.928/0.967
